Transaction Date,Post Date,Description,Category,Type,Amount,Memo
09/21/2025,09/23/2025,KWIK TRIP #172,Gas,Sale,-41.88,
09/18/2025,09/18/2025,Payment Thank You-Mobile,,Payment,140.63,
09/10/2025,09/12/2025,KWIK TRIP #172,Gas,Sale,-19.64,
08/27/2025,08/29/2025,KWIK TRIP #371,Gas,Sale,-8.74,
08/25/2025,08/27/2025,KWIK TRIP #172,Gas,Sale,-50.01,
08/23/2025,08/25/2025,KWIK TRIP #580,Gas,Sale,-10.54,
08/23/2025,08/25/2025,KWIK TRIP #580,Gas,Sale,-33.85,
08/21/2025,08/24/2025,KWIK TRIP #686,Gas,Sale,-17.85,
