Date,Description,Category,Amount,Split,Tags
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-3.33,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-3.33,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,MY.GAMES B.V. IAT PAYPAL,Other,-1.11,,
2/5/24,MY.GAMES B.V. IAT PAYPAL,Other,-1.11,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.1,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.1,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-3.33,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,PURCHASE PAYPAL *MY.COM,Other,-1.11,,
2/5/24,MY.GAMES B.V. IAT PAYPAL,Other,-1.11,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.15,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/5/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
